label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
flicker,131.038,468.466,1.7421,21.2514,60.332
flicker,114.37,358.143,1.5467,9.3267,59.655
flicker,114.575,390.338,1.7086,15.5826,60.332
flicker,102.695,357.802,1.7368,16.3512,60.174
flicker,109.648,376.902,1.7127,13.7668,60.279
flicker,119.563,405.608,1.715,16.806,60.07
flicker,126.361,442.937,1.6683,22.9978,59.552
flicker,126.171,420.133,1.6035,14.8704,60.122
flicker,107.109,358.45,1.7414,8.7391,60.332
flicker,136.493,445.305,1.6267,21.189,59.706
flicker,112.832,368.923,1.6249,11.3523,60.017
flicker,119.232,408.02,1.6643,14.4369,60.482
flicker,106.74,337.283,1.5731,8.5798,59.81
flicker,119.996,435.914,1.7705,23.2493,60.122
flicker,112.487,411.214,1.8433,22.5097,59.913
flicker,121.725,388.48,1.5649,7.9777,59.706
flicker,131.008,482.273,1.8422,25.1984,60.385
flicker,114.854,399.343,1.7995,14.8663,59.81
flicker,132.147,441.225,1.695,15.426,60.279
flicker,103.01,351.877,1.7201,12.0958,60.332
flicker,97.77,313.11,1.5581,4.5572,59.81
flicker,109.69,344.336,1.5653,6.7225,60.385
flicker,109.935,407.168,1.854,23.513,59.81
flicker,134.529,431.95,1.611,9.0994,60.332
flicker,132.996,492.144,1.8377,22.6557,59.655
flicker,129.276,410.56,1.6463,11.233,60.543
flicker,122.404,416.868,1.7864,15.2004,60.017
flicker,123.638,394.096,1.6031,10.4278,59.603
flicker,105.968,392.794,1.8763,22.9582,59.913
flicker,122.979,395.206,1.589,11.7952,59.913
flicker,130.596,422.479,1.6124,12.7015,60.332
flicker,108.573,401.803,1.8761,23.4437,59.81
flicker,122.21,402.932,1.6502,16.3365,60.174
flicker,125.298,419.853,1.6913,14.0582,60.07
flicker,116.413,453.149,1.8742,26.1414,59.81
flicker,115.225,392.491,1.711,13.1382,60.543
flicker,109.08,386.918,1.7542,12.37,59.965
flicker,110.845,401.341,1.8556,24.0781,59.706
flicker,106.368,370.284,1.7345,15.926,60.07
flicker,113.405,381.425,1.6626,13.4154,60.017
flicker,116.453,396.319,1.6987,16.2092,60.227
flicker,126.543,439.995,1.7541,15.099,59.861
flicker,109.959,398.964,1.8695,18.2692,60.017
flicker,115.28,401.429,1.7196,20.1295,59.655
flicker,115.069,343.684,1.5178,7.9749,59.655
flicker,140.428,493.542,1.7277,26.3564,59.965
flicker,109.292,358.849,1.651,12.5096,60.385
flicker,125.515,435.829,1.7226,14.1881,59.696
flicker,105.609,366.58,1.6946,14.8521,60.122
flicker,126.419,453.628,1.8087,24.104,60.53
flicker,125.172,398.503,1.5891,9.7444,60.49
flicker,112.533,345.527,1.5005,6.56,60.437
flicker,128.051,439.137,1.6713,16.1352,60.122
flicker,126.954,443.053,1.7668,21.5683,60.174
flicker,111.071,415.158,1.8558,20.3747,60.174
flicker,117.808,437.954,1.8718,24.2231,60.332
flicker,139.787,462.7,1.6029,21.6563,60.437
flicker,126.37,400.381,1.5656,8.7846,60.227
flicker,128.734,443.269,1.7025,17.6786,59.913
flicker,123.994,457.594,1.7219,17.0162,60.49
flicker,112.123,396.25,1.7738,17.1912,60.279
flicker,124.818,452.293,1.8031,24.3896,59.965
flicker,107.861,355.242,1.6329,10.4305,59.603
flicker,107.737,356.837,1.6278,14.5044,60.332
flicker,120.108,422.103,1.7582,19.589,60.017
flicker,146.394,429.228,1.4669,3.7586,60.017
flicker,129.345,444.25,1.6924,18.7169,59.655
flicker,126.321,430.087,1.7149,14.4482,59.81
flicker,118.618,425.921,1.7927,23.177,60.332
flicker,99.417,319.318,1.601,7.3422,60.144
flicker,136.744,478.747,1.7726,29.8881,60.385
flicker,102.484,321.086,1.5147,9.1811,59.913
flicker,104.437,370.226,1.7445,17.0633,60.543
flicker,124.951,443.609,1.7971,19.9816,60.279
flicker,103.226,345.042,1.6,8.6801,59.913
flicker,124.554,440.987,1.7567,21.1867,59.706
flicker,101.135,323.708,1.6082,6.4961,60.017
flicker,105.917,360.881,1.6811,17.0565,59.81
flicker,115.863,441.401,1.891,21.9051,60.174
flicker,120.153,383.454,1.5801,9.1289,60.332
flicker,122.35,420.306,1.7122,20.0755,59.603
flicker,112.33,403.479,1.8594,16.013,60.122
flicker,110.756,402.535,1.8173,19.9465,60.279
flicker,122.666,416.623,1.7135,14.8438,60.332
flicker,105.662,382.967,1.851,20.5014,60.122
flicker,112.367,370.243,1.6318,18.2271,59.758
flicker,128.428,454.635,1.8924,21.0948,59.655
flicker,108.2,350.451,1.636,11.0865,59.706
flicker,123.279,432.682,1.7819,21.3105,60.122
flicker,118.841,433.369,1.8173,19.4254,59.913
flicker,105.064,338.963,1.6291,8.5286,60.49
flicker,129.641,442.608,1.698,15.8127,59.655
flicker,108.113,330.98,1.5142,9.4641,60.122
flicker,126.357,418.599,1.6606,14.7303,59.758
flicker,131.586,439.152,1.6781,25.8234,60.07
flicker,135.043,443.658,1.6509,13.9275,60.07
flicker,123.283,404.606,1.5928,11.8537,60.192
flicker,105.498,345.703,1.6302,16.8333,60.279
flicker,120.714,437.1,1.8788,21.4621,59.655
flicker,137.401,488.997,1.7377,23.8072,60.174
flicker,125.909,440.617,1.7419,21.5418,59.913
flicker,133.816,478.761,1.7746,20.0108,60.07
flicker,120.395,417.08,1.8262,16.4474,59.706
flicker,110.878,365.09,1.6435,10.1715,59.81
flicker,127.604,429.91,1.7103,11.5713,60.122
flicker,105.751,345.401,1.6855,11.9017,60.279
flicker,130.285,425.93,1.6344,11.5198,60.017
flicker,111.059,416.825,1.9722,18.6959,60.49
flicker,107.025,346.173,1.63,8.8836,60.437
flicker,131.112,430.209,1.6164,15.8055,60.332
flicker,111.306,410.066,1.7859,21.7613,59.706
flicker,106.507,330.177,1.6179,6.1973,59.81
flicker,127.716,423.698,1.6357,12.1881,59.552
flicker,111.34,376.629,1.7105,18.5347,60.227
flicker,110.961,356.434,1.6457,11.9152,60.437
flicker,101.754,342.503,1.6803,12.6088,59.861
flicker,103.312,351.729,1.6965,12.823,60.227
flicker,110.098,360.164,1.5686,13.053,60.122
flicker,140.838,466.208,1.6451,18.7736,59.603
flicker,108.831,366.096,1.7,15.1457,60.279
flicker,116.28,392.723,1.7106,13.1954,59.81
flicker,100.837,328.595,1.6511,9.5762,60.122
flicker,131.683,454.904,1.724,19.7569,60.017
flicker,122.993,453.844,1.8123,23.7989,60.24
flicker,117.584,408.619,1.7372,18.0975,59.965
flicker,113.325,358.989,1.5864,11.0683,60.49
flicker,131.564,472.326,1.8275,26.5619,60.385
flicker,124.41,415.252,1.7476,14.9525,59.965
flicker,125.101,480.678,1.9181,27.2467,60.227
flicker,123.953,408.583,1.5984,10.6228,60.174
flicker,102.529,374.771,1.8531,20.597,60.332
flicker,127.294,501.868,2.0083,24.4115,59.655
flicker,130.228,423.304,1.6082,19.7115,60.122
flicker,110.948,378.828,1.6854,19.1815,59.655
flicker,141.275,468.032,1.6934,24.1728,60.122
flicker,114.552,379.135,1.7113,12.6808,60.385
flicker,122.455,396.162,1.6222,11.5615,59.603
flicker,126.927,482.477,1.8489,23.0719,59.81
flicker,108.26,371.244,1.7176,18.7101,60.385
flicker,137.635,467.144,1.6977,28.4252,60.174
flicker,110.789,332.834,1.4816,8.3107,59.758
flicker,111.397,401.92,1.8357,15.296,60.227
flicker,127.838,431.915,1.6926,14.9668,60.192
flicker,126.306,403.234,1.5708,13.1264,60.174
flicker,135.712,406.336,1.4958,9.945,60.07
flicker,134.691,454.068,1.6909,17.1125,60.07
flicker,119.038,411.569,1.7394,18.0049,60.385
flicker,134.077,472.467,1.8129,20.893,60.49
flicker,119.379,410.383,1.8025,13.0877,60.437
flicker,101.344,328.699,1.6083,8.65,60.332
flicker,111.869,345.062,1.531,7.0523,60.017
flicker,122.894,392.148,1.6398,10.2242,59.552
flicker,118.063,419.414,1.7686,19.5516,60.385
flicker,127.72,413.9,1.6304,16.0962,60.07
flicker,119.199,408.467,1.6928,15.8239,59.913
flicker,133.796,472.945,1.6784,24.6855,60.332
flicker,106.328,342.7,1.6208,8.67,59.965
flicker,141.593,434.715,1.5333,8.5661,59.655
flicker,131.094,416.201,1.6301,8.2363,59.758
flicker,129.368,404.733,1.5696,9.1538,59.913
flicker,106.807,383.603,1.8543,24.5067,60.174
flicker,112.998,418.346,1.8412,23.3829,60.543
flicker,134.073,492.222,1.8491,24.6519,59.706
flicker,136.934,437.689,1.5892,20.2775,60.437
flicker,128.221,446.576,1.7539,18.5111,60.279
flicker,127.305,435.297,1.6334,14.0753,60.332
flicker,132.309,474.828,1.7268,18.6237,59.758
flicker,111.425,371.436,1.5698,10.2387,59.603
flicker,105.134,329.739,1.5863,7.5318,59.706
flicker,152.448,463.884,1.5222,9.5545,60.279
flicker,102.28,347.464,1.6964,9.9014,59.758
flicker,112.311,390.861,1.7357,18.9062,59.861
flicker,113.134,411.108,1.8239,23.38,60.227
flicker,109.311,363.384,1.6577,13.2821,60.24
flicker,128.256,451.419,1.765,24.3139,60.174
flicker,132.015,454.561,1.7794,20.5123,60.174
flicker,129.902,434.009,1.5661,17.2337,60.385
flicker,130.382,454.915,1.8098,18.7733,60.07
flicker,126.33,400.504,1.6629,7.839,59.81
flicker,109.041,349.948,1.5856,8.5158,59.655
flicker,133.162,393.534,1.5184,2.5492,59.81
flicker,116.27,422.662,1.7067,19.2469,59.706
flicker,115.778,386.252,1.6806,12.6275,60.49
flicker,126.029,394.328,1.6202,16.7112,60.385
flicker,105.687,342.71,1.6197,9.0876,59.706
flicker,131.453,426.663,1.6363,9.5965,60.227
flicker,103.237,360.533,1.8188,16.1279,59.861
flicker,102.256,389.844,1.9546,15.7172,60.385
flicker,113.711,360.197,1.5689,11.945,59.552
flicker,137.499,475.42,1.7191,21.1088,60.332
flicker,141.136,512.129,1.8577,29.3508,59.758
flicker,114.251,388.706,1.6585,17.5942,59.706
flicker,125.666,440.332,1.7053,17.5023,59.706
flicker,126.188,405.551,1.5759,10.0759,60.122
flicker,107.303,364.968,1.7374,12.5199,60.122
flicker,113.316,395.679,1.7317,16.907,60.07
flicker,135.891,490.346,1.7833,28.1338,60.279
flicker,112.983,377.131,1.6924,9.9692,60.017
flicker,129.018,429.641,1.632,17.2139,59.861
flicker,117.883,397.314,1.6973,15.4849,59.603
