label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
sag_leve,89.895,250.943,1.3854,0.1218,60.49
sag_leve,94.329,275.082,1.439,0.0938,60.437
sag_leve,88.139,244.857,1.3694,0.1763,60.122
sag_leve,104.079,300.509,1.4772,0.135,60.174
sag_leve,91.071,257.254,1.3765,0.3624,59.706
sag_leve,91.102,260.809,1.4218,0.1118,60.53
sag_leve,101.63,291.193,1.4408,0.1845,60.122
sag_leve,100.799,291.377,1.4237,0.2213,60.017
sag_leve,104.986,301.868,1.4174,0.3262,59.861
sag_leve,104.919,303.833,1.4318,0.2338,60.07
sag_leve,95.521,284.778,1.4805,0.225,60.048
sag_leve,99.8,283.833,1.3791,0.2798,59.913
sag_leve,97.715,282.56,1.442,0.2959,59.913
sag_leve,105.12,295.966,1.3995,0.2729,59.913
sag_leve,98.986,284.411,1.4242,0.1672,60.122
sag_leve,96.145,275.091,1.461,0.0971,60.385
sag_leve,104.227,288.999,1.3772,0.4377,59.603
sag_leve,97.31,284.785,1.4694,0.4684,59.603
sag_leve,90.891,255.533,1.4094,0.1001,60.385
sag_leve,99.989,292.339,1.5109,0.3593,59.81
sag_leve,90.653,261.521,1.4528,0.3682,59.758
sag_leve,93.812,261.956,1.3509,0.3354,59.81
sag_leve,99.37,285.776,1.4055,0.4577,59.655
sag_leve,91.64,256.727,1.4177,0.2302,59.965
sag_leve,99.409,292.213,1.495,0.2723,59.965
sag_leve,103.969,296.347,1.447,0.263,59.965
sag_leve,96.779,268.072,1.3927,0.443,59.603
sag_leve,101.619,288.668,1.4582,0.245,59.965
sag_leve,91.485,261.954,1.4538,0.1609,60.122
sag_leve,88.7,258.66,1.4223,0.1,60.336
sag_leve,103.882,297.372,1.4253,0.4198,59.758
sag_leve,92.593,250.571,1.362,0.1197,60.332
sag_leve,96.658,284.493,1.4251,0.3512,59.861
sag_leve,101.314,293.327,1.4518,0.2196,60.017
sag_leve,94.555,270.159,1.4195,0.2385,59.965
sag_leve,94.247,276.608,1.458,0.2708,59.965
sag_leve,93.497,261.674,1.3804,0.3656,59.706
sag_leve,104.504,297.032,1.4555,0.4771,59.583
sag_leve,100.658,288.578,1.4453,0.1251,60.543
sag_leve,90.77,276.098,1.5217,0.2368,60.017
sag_leve,91.005,263.228,1.4227,0.206,60.07
sag_leve,91.342,271.416,1.4774,0.2003,60.07
sag_leve,104.626,301.095,1.4395,0.2019,60.07
sag_leve,96.687,279.067,1.4772,0.4512,59.603
sag_leve,101.109,289.547,1.4488,0.106,60.437
