label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
sag_severo,51.701,153.166,1.51,0.2551,59.758
sag_severo,71.475,212.098,1.4902,0.3687,59.603
sag_severo,62.936,187.441,1.4374,0.1701,60.174
sag_severo,74.562,218.114,1.4002,0.4334,59.47
sag_severo,61.208,179.736,1.4935,0.1611,60.596
sag_severo,54.038,162.892,1.4975,0.268,59.655
sag_severo,76.719,227.2,1.4364,0.1666,60.65
sag_severo,66.894,193.398,1.4428,0.5026,59.093
sag_severo,54.169,155.602,1.4324,0.1528,60.332
sag_severo,60.661,178.556,1.499,0.2646,59.758
sag_severo,75.419,222.604,1.5263,0.3006,59.81
sag_severo,70.619,210.306,1.4929,0.3132,59.706
sag_severo,64.861,189.986,1.4478,0.2818,61.025
sag_severo,53.141,155.594,1.4644,0.2224,60.227
sag_severo,70.182,213.297,1.5134,0.4986,59.398
sag_severo,80.576,233.583,1.4894,0.2379,60.81
sag_severo,84.37,252.743,1.503,0.356,60.917
sag_severo,64.266,194.253,1.536,0.1364,60.385
sag_severo,49.962,153.261,1.5356,0.1647,65.759
sag_severo,75.944,218.632,1.4429,0.2052,59.965
sag_severo,69.066,201.31,1.4453,0.2478,60.917
sag_severo,83.435,247.456,1.4415,0.3094,60.971
sag_severo,77.348,225.596,1.4619,0.4342,59.5
sag_severo,47.221,138.856,1.4083,0.1509,71.301
sag_severo,59.996,180.608,1.4779,0.2099,60.49
sag_severo,73.168,210.161,1.4572,0.1966,60.703
sag_severo,49.589,143.153,1.4221,0.1463,60.017
sag_severo,80.443,239.421,1.4981,0.4393,59.552
sag_severo,65.285,194.234,1.4866,0.2123,60.81
sag_severo,54.782,156.247,1.3483,0.3576,59.245
sag_severo,64.404,196.501,1.5309,0.3826,59.5
sag_severo,77.045,226.117,1.4644,0.5505,59.245
sag_severo,50.551,150.95,1.4594,0.2424,59.758
sag_severo,49.62,148.462,1.484,0.1394,60.385
sag_severo,75.715,221.788,1.513,0.2237,60.017
sag_severo,59.787,176.942,1.4828,0.3961,59.398
sag_severo,69.269,197.461,1.3913,0.1366,60.332
sag_severo,65.873,192.001,1.4634,0.3368,59.655
sag_severo,62.624,187.551,1.5123,0.5142,59.043
sag_severo,49.316,155.387,1.611,0.269,59.913
sag_severo,54.897,164.923,1.4859,0.1751,60.174
sag_severo,72.523,207.784,1.4555,0.16,60.703
sag_severo,85.514,249.544,1.4399,0.6521,59.195
sag_severo,55.572,162.466,1.4614,0.3855,59.347
sag_severo,59.017,177.889,1.4604,0.3635,59.47
sag_severo,55.198,162.502,1.5077,0.243,60.917
sag_severo,62.685,185.479,1.5116,0.4403,59.245
sag_severo,53.057,161.375,1.6135,0.135,60.227
sag_severo,66.771,194.82,1.4381,0.1504,60.676
sag_severo,71.162,202.768,1.4348,0.1731,60.279
sag_severo,82.669,242.463,1.4683,0.6217,59.144
sag_severo,65.36,192.907,1.5249,0.1601,60.49
sag_severo,77.032,221.085,1.4127,0.1825,60.703
sag_severo,82.556,231.363,1.4639,0.1417,60.385
sag_severo,85.797,261.438,1.4529,0.5987,59.398
sag_severo,66.128,192.088,1.4584,0.1075,60.227
sag_severo,82.989,241.684,1.5077,0.4197,59.603
sag_severo,77.568,232.428,1.4946,0.1451,60.174
sag_severo,54.868,160.857,1.4188,0.1648,60.017
sag_severo,73.503,212.083,1.4554,0.1853,60.596
sag_severo,83.252,241.939,1.4406,0.1945,60.437
sag_severo,80.98,244.788,1.514,0.5824,59.296
sag_severo,47.195,139.742,1.4834,0.1811,60.65
sag_severo,80.392,236.499,1.4767,0.5189,59.449
sag_severo,74.695,223.696,1.5137,0.2487,60.017
sag_severo,86.336,254.726,1.469,0.3549,60.917
sag_severo,73.608,217.652,1.5196,0.1872,60.596
sag_severo,74.924,224.311,1.5247,0.5775,59.144
sag_severo,76.348,225.888,1.4769,0.171,60.385
sag_severo,49.705,144.45,1.4662,0.363,59.296
sag_severo,60.443,174.84,1.4637,0.2339,60.917
sag_severo,56.852,167.807,1.5077,0.146,60.385
sag_severo,71.347,201.893,1.4718,0.1974,60.227
sag_severo,49.983,149.0,1.433,0.2643,59.552
sag_severo,85.645,251.529,1.4522,0.5876,59.296
sag_severo,71.137,215.749,1.5088,0.5917,59.144
sag_severo,74.656,216.338,1.486,0.1955,60.122
sag_severo,68.026,190.685,1.4688,0.206,59.965
sag_severo,65.898,201.132,1.6046,0.2215,65.817
sag_severo,46.978,145.84,1.5598,0.1646,70.505
sag_severo,53.482,157.142,1.4854,0.0929,60.543
sag_severo,75.37,214.177,1.4369,0.2212,60.703
sag_severo,59.642,176.595,1.5089,0.2522,60.017
sag_severo,60.358,174.943,1.4282,0.1808,60.543
sag_severo,51.768,154.099,1.4855,0.2122,60.81
sag_severo,77.653,218.759,1.3969,0.3568,59.655
sag_severo,81.542,235.638,1.4476,0.1688,60.122
sag_severo,83.463,243.706,1.4798,0.1394,60.174
sag_severo,67.757,197.673,1.4868,0.4093,59.449
