label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
normal,120.832,335.897,1.3482,0.2696,59.965
normal,118.489,332.437,1.3643,0.1902,60.122
normal,115.201,312.02,1.3745,0.095,60.332
normal,117.854,337.79,1.4077,0.0879,60.332
normal,121.483,345.477,1.4291,0.0889,60.332
normal,121.657,347.339,1.4193,0.1454,60.174
normal,120.172,345.543,1.4132,0.3617,59.861
normal,112.711,332.049,1.476,0.351,59.913
normal,121.309,346.126,1.4358,0.1474,60.174
normal,116.425,348.599,1.4601,0.2857,60.017
normal,112.545,320.869,1.4521,0.1376,60.174
normal,115.601,335.824,1.3925,0.2984,59.965
normal,120.689,345.533,1.4116,0.2474,60.122
normal,115.332,335.239,1.4747,0.2394,60.017
normal,115.02,317.455,1.3646,0.2601,59.965
normal,123.809,353.979,1.5053,0.1058,60.279
normal,120.911,360.584,1.4523,0.1957,60.122
normal,114.487,318.168,1.3077,0.2646,60.017
normal,117.012,331.26,1.3116,0.0983,60.279
normal,121.563,349.979,1.3948,0.2015,60.122
normal,121.284,346.425,1.4604,0.309,59.965
normal,114.076,334.697,1.4825,0.386,59.861
normal,119.166,342.796,1.4491,0.093,60.332
normal,123.301,356.454,1.4493,0.2031,60.122
normal,122.295,351.154,1.4358,0.1812,60.174
normal,118.322,333.906,1.382,0.3256,59.913
normal,113.027,320.125,1.4579,0.2697,60.017
normal,118.941,339.402,1.423,0.205,60.07
normal,115.861,330.979,1.4321,0.2873,59.965
normal,120.928,357.427,1.4488,0.3479,59.965
normal,115.065,330.472,1.4187,0.3739,59.861
normal,115.972,338.433,1.5168,0.4408,59.758
normal,117.275,329.311,1.4094,0.2866,59.965
normal,120.281,339.458,1.4509,0.0821,60.279
normal,113.385,329.199,1.3499,0.3682,59.861
normal,111.811,313.599,1.4493,0.3031,59.965
normal,121.075,346.381,1.4384,0.2556,60.017
normal,115.269,329.062,1.4343,0.3802,59.81
normal,122.785,349.765,1.4396,0.453,59.81
normal,116.896,333.137,1.4233,0.2721,60.017
normal,118.106,345.974,1.4662,0.2761,60.017
normal,120.247,343.592,1.4185,0.1031,60.279
normal,114.776,324.595,1.3953,0.3744,59.81
normal,115.637,331.412,1.4541,0.3055,59.965
normal,122.246,359.451,1.5081,0.2795,60.017
normal,116.349,326.852,1.3792,0.4037,59.81
normal,117.469,325.353,1.3735,0.3481,59.861
normal,119.691,348.156,1.4244,0.2991,59.965
normal,120.859,354.066,1.4448,0.4032,59.861
normal,121.738,345.55,1.3985,0.0859,60.279
normal,122.944,354.274,1.4613,0.2179,60.122
normal,113.81,321.906,1.4165,0.1268,60.227
normal,113.83,326.6,1.4508,0.3995,59.81
normal,113.699,332.042,1.4645,0.3739,59.861
normal,114.471,310.671,1.3708,0.3418,59.81
normal,119.361,327.217,1.3785,0.2585,60.017
normal,113.502,321.84,1.3838,0.3329,59.861
normal,116.196,327.854,1.4179,0.4208,59.81
normal,117.508,333.967,1.4477,0.2865,59.965
normal,122.241,346.328,1.3942,0.4304,59.81
normal,123.081,346.048,1.3887,0.4478,59.758
normal,117.162,334.577,1.4244,0.081,60.279
normal,118.724,333.083,1.4229,0.1077,60.279
normal,111.971,315.591,1.4384,0.1092,60.332
normal,122.188,343.495,1.4296,0.436,59.81
normal,122.619,361.352,1.461,0.1966,60.174
normal,117.283,327.743,1.3633,0.41,59.758
normal,114.895,331.721,1.4291,0.0898,60.279
normal,122.31,349.414,1.4761,0.3837,59.861
normal,116.142,332.718,1.4461,0.1581,60.227
normal,111.952,320.091,1.402,0.1785,60.122
normal,122.839,358.793,1.412,0.1014,60.332
normal,121.861,352.257,1.3945,0.2663,60.017
normal,122.052,347.857,1.3932,0.2008,60.122
normal,118.557,336.739,1.4267,0.3166,59.965
normal,119.537,336.672,1.4345,0.1603,60.174
normal,112.386,316.844,1.4623,0.1301,60.227
normal,120.347,360.744,1.4675,0.4168,59.861
normal,118.0,337.688,1.4055,0.3835,59.861
normal,116.377,322.005,1.3555,0.1459,60.174
normal,115.726,332.616,1.388,0.1374,60.288
normal,122.492,330.354,1.3326,0.2336,60.017
normal,114.554,325.852,1.4229,0.1292,60.227
normal,118.572,337.655,1.3932,0.4231,59.81
normal,112.21,316.255,1.4343,0.0927,60.332
normal,117.264,339.688,1.449,0.4115,59.81
normal,115.515,311.838,1.3501,0.2085,60.07
normal,122.459,346.883,1.4382,0.4259,59.758
normal,113.052,318.536,1.3843,0.1403,60.227
normal,121.153,353.409,1.4782,0.473,59.758
normal,122.061,343.544,1.4369,0.3398,59.913
normal,112.104,322.421,1.3334,0.4469,59.758
normal,122.676,355.817,1.4769,0.133,60.227
normal,120.76,352.133,1.4636,0.3675,59.913
normal,114.923,328.241,1.4165,0.3851,59.81
normal,119.087,344.502,1.4478,0.1648,60.174
normal,111.794,311.952,1.4419,0.1161,60.279
normal,118.463,335.182,1.4135,0.4062,59.81
normal,113.102,324.583,1.4309,0.143,60.174
normal,116.977,328.68,1.414,0.1506,60.227
normal,120.978,354.064,1.4842,0.1137,60.227
normal,112.576,320.309,1.4369,0.3485,59.861
normal,119.746,342.198,1.4498,0.2038,60.122
normal,117.098,335.691,1.448,0.3525,59.861
normal,115.517,337.06,1.4215,0.3956,59.861
normal,114.047,346.278,1.4752,0.3512,59.965
normal,117.168,339.964,1.4357,0.3815,59.861
normal,122.98,360.544,1.4606,0.1931,60.144
normal,115.752,334.51,1.444,0.1741,60.122
normal,121.252,358.14,1.4219,0.1247,60.336
normal,117.438,330.255,1.3629,0.1378,60.227
normal,114.581,319.876,1.3727,0.134,60.279
normal,121.818,342.111,1.4009,0.3055,59.965
normal,114.308,331.013,1.4738,0.2479,60.017
normal,115.458,332.407,1.4398,0.2805,60.017
normal,111.6,320.973,1.4496,0.3348,59.913
normal,118.724,343.198,1.4354,0.3039,59.965
normal,112.083,319.502,1.4456,0.2644,60.017
normal,112.362,320.359,1.4014,0.2056,60.07
normal,113.938,324.98,1.3808,0.4094,59.758
normal,119.85,343.291,1.4751,0.3902,59.861
normal,114.876,313.752,1.3731,0.2081,60.07
normal,121.931,340.215,1.3864,0.2745,60.017
normal,120.078,339.037,1.4225,0.1693,60.174
normal,118.881,340.762,1.4472,0.4012,59.861
normal,118.577,332.223,1.369,0.1285,60.227
normal,120.67,344.905,1.4184,0.1461,60.227
normal,122.019,340.521,1.4155,0.1819,60.122
normal,121.544,355.547,1.5015,0.3654,59.913
