label,rms_mV,peak_to_peak_mV,crest_factor,rms_ripple_mV,frequency_hz
outage,1.602,9.913,2.9848,1.059,1168.372
outage,0.971,7.232,3.0019,0.1967,1338.196
outage,1.286,9.616,4.0112,0.7012,1348.307
outage,1.16,9.314,3.7091,0.5327,1385.896
outage,0.526,3.065,3.1881,0.0358,1615.144
outage,1.93,13.364,3.6508,1.2316,1159.616
outage,2.92,14.431,2.507,1.5906,839.049
outage,0.691,4.347,2.8418,0.0705,1528.651
outage,0.844,6.034,3.9346,0.2605,1273.247
outage,2.314,11.205,2.4899,1.2736,835.974
outage,1.897,10.181,2.5996,0.9276,935.762
outage,2.429,12.877,2.7052,1.461,1003.162
outage,2.761,17.216,3.2971,1.7695,1130.09
outage,1.854,10.822,2.7471,1.0061,975.736
outage,0.534,3.62,3.1307,0.0372,1561.215
outage,0.802,5.397,3.4684,0.0507,1576.255
outage,2.289,12.623,2.8465,1.1981,882.731
outage,1.016,7.627,3.404,0.5319,1334.5
outage,0.751,4.222,2.8178,0.2365,1087.712
outage,2.7,14.491,2.735,1.4579,965.355
outage,0.617,3.843,3.2215,0.1296,1375.812
outage,1.49,9.302,3.0629,0.6125,1013.399
outage,2.318,12.409,2.5923,1.3513,959.584
outage,2.043,10.391,2.4909,1.2322,935.427
outage,1.183,7.466,3.2122,0.6469,1244.638
outage,2.181,17.799,4.0498,1.5725,1352.226
outage,1.862,10.475,2.8026,1.1397,1128.758
outage,2.118,15.75,3.5051,1.4615,1346.82
outage,1.677,10.19,3.076,1.0045,1180.532
outage,1.803,11.608,3.2003,1.0532,1117.933
outage,0.816,5.411,3.6877,0.2742,1096.589
outage,0.802,5.646,3.6071,0.1018,1354.313
outage,0.656,4.108,3.1975,0.0456,1514.647
outage,2.448,18.282,3.9481,1.6393,1313.829
outage,1.586,9.911,3.2674,1.0067,1174.968
outage,2.844,14.955,2.738,1.554,881.226
outage,3.537,18.572,2.442,2.4575,1039.735
outage,1.094,8.364,3.7234,0.4207,1419.063
outage,2.635,13.771,2.542,1.4061,917.129
outage,1.628,12.159,3.8741,0.8852,1372.79
outage,1.894,12.744,3.254,1.1247,1189.736
outage,1.842,12.179,3.2766,1.1886,1221.533
outage,1.575,12.5,4.006,0.9458,1341.015
outage,2.841,18.552,3.14,1.9559,1313.042
outage,1.358,8.984,3.266,0.7293,1239.405
outage,1.967,12.597,3.3326,1.214,1196.678
outage,1.95,15.654,4.1677,1.2745,1325.0
outage,3.917,18.314,2.3245,2.4615,918.377
outage,1.137,7.904,3.7659,0.4181,1317.77
outage,1.758,10.81,3.2965,1.0225,1099.651
outage,2.287,12.995,2.7645,1.4428,1100.146
outage,2.339,15.906,3.3852,1.6836,1223.244
outage,2.107,13.883,3.3203,1.3409,1179.102
outage,3.186,16.988,2.5704,1.9146,1082.582
outage,1.984,12.064,2.9835,1.013,965.752
outage,1.488,11.292,3.763,0.9032,1278.502
outage,2.312,11.686,2.4205,1.2018,896.411
outage,1.666,12.504,3.5065,0.9817,1297.065
outage,1.611,11.154,3.4454,0.9608,1243.913
outage,1.206,7.234,2.7966,0.4764,995.793
outage,0.881,6.195,3.5166,0.4301,1309.169
outage,1.644,11.844,3.6606,0.8234,1240.494
outage,2.32,11.325,2.2546,1.3797,907.223
outage,1.944,11.357,2.8197,1.2029,1105.526
outage,2.077,10.505,2.562,1.2884,992.117
outage,2.751,16.037,2.66,1.5548,943.757
outage,2.217,17.66,4.1412,1.6278,1276.423
outage,0.838,6.118,3.6529,0.1179,1262.01
outage,2.514,14.862,2.7414,1.6175,1144.089
outage,0.709,4.392,3.1678,0.1235,1328.942
outage,0.765,6.696,4.0428,0.285,1366.764
outage,1.084,7.79,3.4454,0.3724,1339.265
outage,1.469,8.352,2.8788,0.6329,933.582
outage,1.932,12.219,3.1936,1.287,1230.156
outage,2.124,13.7,3.2221,1.3822,1173.018
outage,1.886,11.279,3.0968,1.0851,1080.861
outage,1.002,6.848,3.3705,0.3577,1241.692
outage,0.925,6.167,3.6867,0.2616,1352.538
outage,3.258,15.133,2.3409,2.0779,936.852
outage,0.83,5.894,3.5043,0.3727,1330.725
outage,0.545,3.962,3.5761,0.1394,1429.844
outage,1.505,11.539,3.8669,0.9052,1316.288
outage,0.912,6.68,2.9059,0.2164,1335.955
outage,0.587,4.039,3.3667,0.0911,1428.412
outage,3.117,17.922,2.9238,2.1744,1092.174
outage,1.868,10.749,2.5045,0.9575,847.7
outage,1.908,13.318,3.3949,1.3169,1376.367
outage,0.793,5.012,2.8217,0.2119,1103.788
outage,2.006,12.115,2.8727,1.0695,1076.719
outage,0.939,6.18,3.2784,0.2373,1396.112
outage,3.359,17.503,2.7022,2.1763,952.613
outage,1.261,9.324,3.8454,0.6555,1279.353
outage,2.069,12.852,2.9053,1.1414,1116.444
outage,0.811,5.125,3.5983,0.146,1382.518
outage,1.047,7.184,3.5281,0.4457,1186.053
outage,2.015,15.867,3.9344,1.4037,1381.279
outage,0.845,6.357,3.6588,0.2336,1332.121
outage,2.194,11.278,2.4539,1.2094,891.152
outage,1.375,10.878,4.0108,0.8878,1330.687
outage,1.064,7.097,3.1033,0.425,1244.638
outage,0.733,4.945,3.3473,0.0455,1504.792
outage,2.87,16.164,2.8371,2.0462,1121.245
outage,1.554,9.081,3.0256,0.8977,1139.02
outage,3.329,18.876,2.9363,2.2556,1129.163
outage,3.635,17.725,2.3621,2.3071,944.824
outage,0.508,3.713,3.461,0.0552,1459.649
outage,3.795,18.097,2.3503,2.4543,938.573
outage,3.469,19.194,2.7575,2.2878,1080.816
outage,3.248,18.045,2.9324,2.1178,1037.344
outage,1.109,7.742,3.5275,0.6527,1290.411
outage,1.922,12.728,3.3915,1.1412,1246.689
outage,0.808,5.077,3.1061,0.1399,1341.068
outage,0.459,2.926,3.063,0.0348,1478.532
outage,2.364,13.658,2.7611,1.641,1110.304
outage,2.091,14.946,3.5841,1.3741,1454.598
outage,3.728,17.047,2.2881,2.2707,820.503
outage,2.019,14.201,3.4745,1.3469,1215.32
outage,2.364,16.498,3.5738,1.6464,1277.816
outage,1.734,11.966,3.4071,1.0331,1312.856
outage,2.614,16.04,2.9267,1.6485,1137.644
outage,3.314,17.194,2.6409,1.9335,905.867
outage,2.705,14.307,2.8751,1.6575,1011.005
outage,0.765,4.682,3.0641,0.0451,1541.135
outage,1.568,10.02,3.0918,0.9295,1119.456
outage,1.973,9.985,2.671,1.1028,875.677
outage,2.641,15.593,2.9508,1.7021,1111.869
outage,2.217,19.758,4.4251,1.397,1443.197
outage,2.208,11.339,2.6033,1.0798,891.322
outage,1.098,8.048,3.5756,0.3821,1323.177
outage,2.038,12.387,3.1486,1.3554,1175.293
outage,0.558,3.238,3.0266,0.0411,1566.247
outage,0.788,5.292,3.4687,0.3471,1243.564
outage,0.441,2.988,3.6338,0.0216,1566.247
outage,1.649,12.492,3.6078,0.8866,1271.443
outage,2.993,14.812,2.4202,1.6263,913.455
outage,1.258,7.931,3.1241,0.6235,1160.491
outage,2.535,13.339,2.7592,1.4278,942.504
outage,1.611,8.842,2.6866,0.8961,1052.717
outage,3.001,15.469,2.6905,1.7265,855.895
outage,2.723,14.217,2.6183,1.5109,919.644
outage,3.942,19.85,2.4533,2.4051,891.187
outage,0.944,6.529,3.3192,0.1164,1437.289
outage,0.605,4.2,3.1174,0.1642,1206.922
outage,1.415,10.462,3.6804,0.6066,1230.88
outage,0.763,5.157,3.5236,0.1128,1456.232
outage,2.206,11.974,2.7101,1.4342,1075.236
outage,1.213,7.73,2.8622,0.3439,1045.825
outage,1.386,8.367,2.9243,0.676,986.931
outage,1.295,7.589,2.9643,0.4889,990.777
outage,1.603,12.635,4.0645,0.8502,1334.756
outage,2.399,16.34,3.3286,1.6615,1231.473
outage,3.341,15.462,2.3304,2.0508,879.807
outage,1.488,9.802,3.1282,0.9589,1268.374
outage,1.178,9.022,3.8385,0.4441,1172.801
outage,2.771,13.323,2.3801,1.7955,961.755
outage,0.737,4.838,3.2758,0.0577,1462.466
outage,1.17,8.679,3.8646,0.4033,1361.866
outage,2.89,18.624,3.3472,1.9845,1180.681
outage,2.893,16.613,2.881,1.8994,1083.806
outage,3.182,16.367,2.5189,2.0189,1023.146
outage,2.509,16.272,3.1376,1.7989,1355.786
outage,2.307,12.981,2.598,1.3988,999.776
outage,1.395,9.141,3.5389,0.7347,1112.658
outage,3.404,16.889,2.453,2.292,1036.405
outage,1.213,7.477,3.2498,0.5679,1085.747
outage,3.511,18.042,2.6566,2.3339,1021.013
outage,2.233,12.363,2.6207,1.4778,1110.455
outage,1.63,10.369,3.2806,1.0498,1167.896
outage,1.365,7.852,3.0627,0.7775,942.504
outage,2.95,16.677,2.86,1.8571,1062.848
outage,1.58,8.344,2.8873,0.7084,901.509
outage,0.666,4.465,3.1333,0.0492,1566.247
outage,0.774,5.291,3.2917,0.1253,1460.0
outage,2.622,13.904,2.7937,1.8224,1122.563
outage,1.668,9.197,2.9261,1.0168,1034.177
outage,3.537,17.729,2.4482,2.4244,1049.357
outage,3.284,15.883,2.3507,2.1896,991.03
outage,1.115,8.843,4.2284,0.6267,1448.452
outage,2.873,15.058,2.5578,1.5355,949.001
outage,1.192,9.249,3.6089,0.6776,1289.105
outage,2.773,15.527,2.8872,1.858,1040.772
outage,0.875,6.16,3.8043,0.1206,1373.119
outage,0.552,3.737,3.2018,0.0473,1577.536
outage,1.075,8.313,3.6756,0.3605,1358.244
outage,1.039,7.742,3.5278,0.5391,1259.01
outage,1.543,10.085,3.3848,0.7517,1174.602
outage,1.264,10.258,3.9767,0.7886,1338.526
outage,0.72,5.929,4.9861,0.1977,1408.364
outage,1.738,12.116,3.4638,1.2483,1266.088
outage,0.817,5.444,3.3345,0.0853,1406.72
outage,2.256,10.292,2.2972,1.3291,891.322
outage,1.207,7.557,3.1963,0.6472,1101.754
outage,1.845,13.99,3.7889,1.2497,1280.096
outage,2.899,18.179,2.8403,1.8832,1053.485
outage,4.119,19.032,2.3725,2.4958,843.824
outage,1.342,7.638,3.0037,0.7454,1010.283
outage,1.109,7.356,3.546,0.5154,1098.748
outage,1.135,7.174,3.2386,0.5387,1118.011
outage,1.621,13.28,4.2582,1.1102,1382.942
outage,1.372,10.53,3.5594,0.6766,1374.57
